"ZipCode","Borough","Total_Population","Total_Housing_Units","total_dogs","Dogs_Per_Person","Dogs_Per_Housing_Unit"
10162,"Manhattan",1726,943,107,0.0619930475086906,0.113467656415695
10165,"Manhattan",7,3,2,0.285714285714286,0.666666666666667
10280,"Manhattan",6614,4623,1699,0.256879346840036,0.36751027471339
10282,"Manhattan",1574,879,882,0.560355781448539,1.00341296928328
10301,"Staten Island",38805,15561,3982,0.102615642314135,0.255896150632993
10302,"Staten Island",16406,5842,1774,0.108131171522614,0.303663129065389
10303,"Staten Island",23530,7904,2055,0.0873353166170846,0.259994939271255
10304,"Staten Island",38972,14056,4281,0.109848096068973,0.304567444507684
10305,"Staten Island",38450,15017,4843,0.125955786736021,0.322501165345941
10306,"Staten Island",55698,21548,8178,0.146827534202305,0.379524781882309
10307,"Staten Island",11669,4424,2001,0.171479989716342,0.452305605786618
10308,"Staten Island",26451,9720,4794,0.181240784847454,0.49320987654321
10309,"Staten Island",27207,9269,4942,0.181644429742346,0.533175099795016
10310,"Staten Island",22852,8571,2789,0.122046210397339,0.325399603313499
10312,"Staten Island",58867,20803,10066,0.170995634226307,0.483872518386771
10314,"Staten Island",84821,31278,10067,0.118685231251695,0.321855617366839
10451,"Bronx",40961,15553,2555,0.0623764068260052,0.164276988362374
10452,"Bronx",72138,23726,2428,0.0336577116083063,0.102334991148951
10453,"Bronx",76775,25755,2360,0.0307391729078476,0.0916326926810328
10454,"Bronx",34976,12679,2354,0.0673032936870997,0.185661329757867
10455,"Bronx",37465,12863,2269,0.0605631923128253,0.176397418953588
10456,"Bronx",76656,26871,3358,0.0438060947610102,0.124967437013881
10457,"Bronx",69048,23374,2688,0.0389294403892944,0.114999572174211
10458,"Bronx",77840,26766,3006,0.038617677286742,0.112306657700067
10459,"Bronx",39080,13737,2270,0.058085977482088,0.165247142753148
10460,"Bronx",53707,19163,2983,0.0555421081050887,0.155664561916193
10461,"Bronx",49808,21194,4950,0.0993816254416961,0.233556666981221
10462,"Bronx",72077,30707,5188,0.0719785784646975,0.168951704823005
10463,"Bronx",57756,25679,5859,0.101444005817577,0.228163090463024
10463,"Manhattan",7820,2980,5859,0.74923273657289,1.96610738255034
10464,"Bronx",4634,2265,853,0.184074233923177,0.376600441501104
10465,"Bronx",42500,16841,5166,0.121552941176471,0.306751380559349
10466,"Bronx",68787,25022,2362,0.034337883611729,0.0943969307009831
10467,"Bronx",94342,36387,4306,0.0456424498102648,0.118338967213565
10468,"Bronx",78309,27107,2564,0.032742085839431,0.0945881137713506
10469,"Bronx",63345,23144,3435,0.0542268529481411,0.148418596612513
10470,"Bronx",15780,6786,829,0.0525348542458809,0.122163277335691
10471,"Bronx",23413,10179,2729,0.116559176525862,0.268100992238923
10472,"Bronx",64867,23112,3275,0.0504879214392526,0.141701280719972
10473,"Bronx",56166,20287,4699,0.0836627140974967,0.231626164538867
10474,"Bronx",11354,3785,524,0.0461511361634666,0.138441215323646
10475,"Bronx",38086,17677,2040,0.0535629890248385,0.115404197544832
11001,"Queens",3143,1151,309,0.0983137130130449,0.268462206776716
11004,"Queens",14682,5865,1174,0.0799618580574854,0.200170502983802
11005,"Queens",2195,1840,21,0.00956719817767654,0.0114130434782609
11040,"Queens",1681,599,216,0.12849494348602,0.360601001669449
11101,"Queens",25595,9866,6720,0.262551279546786,0.681127103182647
11102,"Queens",36291,14132,3965,0.109255738337329,0.280568921596377
11103,"Queens",44321,18043,2799,0.0631529071997473,0.15512941306878
11104,"Queens",29506,12822,3252,0.110214871551549,0.253626579316799
11105,"Queens",42117,17572,3754,0.0891326542726215,0.213635328932392
11106,"Queens",43130,18044,3890,0.0901924414560631,0.215584127687874
11201,"Brooklyn",47746,22428,13026,0.272818665437942,0.580791867308721
11203,"Brooklyn",84498,29242,2423,0.0286752349168028,0.0828602694754121
11204,"Brooklyn",74880,26696,3312,0.0442307692307692,0.124063530116871
11205,"Brooklyn",35622,13876,4238,0.118971422154848,0.305419429230326
11206,"Brooklyn",69032,24080,6909,0.100084019005679,0.286918604651163
11207,"Brooklyn",86551,30331,4412,0.0509757252949128,0.145461738815074
11208,"Brooklyn",87165,28033,3613,0.041450123329318,0.128883815503157
11209,"Brooklyn",69840,32783,8188,0.117239404352806,0.249763596986243
11210,"Brooklyn",62308,20811,2087,0.0334948963214996,0.100283503916198
11211,"Brooklyn",85089,29215,6836,0.0803394093243545,0.233989389012494
11212,"Brooklyn",85161,30216,2793,0.032796702716032,0.0924344718030183
11213,"Brooklyn",65440,24243,2741,0.0418856968215159,0.113063564740337
11214,"Brooklyn",83546,32607,5958,0.0713140066550164,0.182721501518079
11215,"Brooklyn",63001,28841,12790,0.203012650592848,0.443465899240664
11216,"Brooklyn",55775,24715,4750,0.0851636037651277,0.192190977139389
11217,"Brooklyn",35353,16474,6872,0.19438237207592,0.417142163409008
11218,"Brooklyn",74611,26433,6682,0.0895578399967833,0.252790073014792
11219,"Brooklyn",85987,27552,2081,0.0242013327596032,0.0755299070847851
11220,"Brooklyn",92718,29723,5008,0.0540132444617011,0.168489048884702
11221,"Brooklyn",76363,28855,6132,0.0803006691722431,0.21251083001213
11222,"Brooklyn",39360,16758,6117,0.155411585365854,0.365019692087361
11223,"Brooklyn",77691,29683,4068,0.0523612773680349,0.137048142034161
11224,"Brooklyn",51205,20883,3740,0.0730397422126745,0.179093042187425
11225,"Brooklyn",63774,24366,4121,0.0646188101734249,0.169129114339654
11226,"Brooklyn",106154,37132,6077,0.0572470184825819,0.163659377356458
11228,"Brooklyn",41172,16691,4077,0.0990236082774701,0.244263375471811
11229,"Brooklyn",80554,31753,5766,0.0715793132557043,0.18158914118351
11230,"Brooklyn",88933,32695,3582,0.0402775122845288,0.109558036397003
11231,"Brooklyn",32974,15695,6023,0.182659064717656,0.383752787511946
11232,"Brooklyn",27723,8908,2256,0.0813764744075317,0.253255500673552
11233,"Brooklyn",61955,25343,3682,0.059430231619724,0.145286666929724
11234,"Brooklyn",86898,32460,7535,0.0867108564063615,0.232131854590265
11235,"Brooklyn",77451,33510,5246,0.0677331474093298,0.156550283497463
11236,"Brooklyn",96301,33433,3521,0.0365624448344254,0.105315107827595
11237,"Brooklyn",48910,14881,3558,0.072745859742384,0.239096834890128
11238,"Brooklyn",48965,22862,7884,0.16101296844685,0.34485171900971
11239,"Brooklyn",14620,6659,1419,0.0970588235294118,0.213095059318216
11354,"Queens",54329,20372,2696,0.0496235896114414,0.132338503828785
11355,"Queens",83281,29394,3013,0.0361787202363084,0.102503912363067
11356,"Queens",20444,7540,1781,0.087116024261397,0.236206896551724
